id,name,rarity,description,image
UR001,小马和夏洛特的百年好合,UR,承诺一生一世，就像小王子与玫瑰的守护,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/UR001.png
HR001,小王子和玫瑰,HR,你在你玫瑰花身上耗费的时间使得你的玫瑰变得如此重要,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/HR001.png
HR002,小马同学的生日,HR,跟宝宝过的第一个生日！异国恋也可以庆祝呢,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/HR002.png
HR003,日本之行,HR,宝宝第一次出国呢，但是没有我陪着5555,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/HR003.png
SSR001,麦当劳皮卡丘,SSR,别管最后涨到多少，反正不亏就是赚的！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR001.png
SSR002,福利姬,SSR,今天是穿这个黑丝袜好，还是这个白丝袜好呢～,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR002.png
SSR003,几千公里的喜欢,SSR,“你走过几千公里 我在梦里 数着日期～”,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR003.png
SSR004,小马同学的七夕惊喜,SSR,我们一起过的第一个七夕，收到了宝宝的8朵玫瑰,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR004.png
SSR005,处女座,SSR,谨慎细腻，追求完美,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR005.png
SSR006,白羊座,SSR,热情似火，勇往直前,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR006.png
SSR007,哒哒哒,SSR,“哒哒哒 喜欢你”,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR007.png
SSR008,天地藏春,SSR,愿唤生能如愿成为名角儿，名扬万里。可是下一世，你只能给我一个人唱戏,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR008.png
SSR009,Crocs洞洞鞋,SSR,穿了才知道洞门yyds！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR009.png
SSR010,机场告别,SSR,当我回头的时候，你一定会在原地等我,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SSR010.png
SR001,红围巾,SR,“带上这条围巾就不能摘下来啦！摘下来我就跟你分手！“,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR001.png
SR002,悄悄抽烟,SR,恋爱中最让我难过的时刻，有种喜欢的人吸毒了的感觉,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR002.png
SR003,美团忠实用户,SR,如果美团能积分，那我给宝宝的点的外卖将积攒10000分,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR003.png
SR004,小兔子,SR,我是小兔子，你是狐狸先生～,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR004.png
SR005,回家种田,SR,为什么现在的年轻人一难过了就想回家种田呢？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR005.png
SR006,香肠派对,SR,你的左边有脚步！快快快来救下我！,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR006.png
SR007,拆盲盒,SR,宝宝你说下一盒会是隐藏嘛？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR007.png
SR008,理财,SR,两个管不住手的人走到了一起，会碰撞出什么样的火花？,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR008.png
SR009,猫猫表情包,SR,表情包可可爱爱才能让你也觉得我很可爱,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR009.png
SR010,玲娜贝儿,SR,粉粉的小狐狸谁不喜欢呢，不愧是顶流,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR010.png
SR011,水杯,SR,现在是水杯2代了，希望不会有水杯3代,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR011.png
SR012,华伦天奴战靴,SR,斩男鞋斩到你的心里去了嘛,https://raw.githubusercontent.com/charlotteweng/couple-card-images/main/SR012.png
